Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Ridle Baku,de GER,"DF,MF",Wolfsburg,25.0,1998.0,33,22,"2,013",22.4,1,0,1,1,0,0,4,0,1.8,1.8,3.0,4.8,37,85,130,0.04,0.0,0.04,0.04,0.04,0.08,0.13,0.21,0.08,0.21
Samuel Bamba,de GER,FW,Dortmund,19.0,2004.0,2,0,47,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,5,2,7,0.0,0.0,0.0,0.0,0.0,0.51,0.15,0.67,0.51,0.67
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25.0,1998.0,13,1,321,3.6,1,0,1,1,0,1,2,0,1.7,0.9,0.3,1.2,14,16,33,0.28,0.0,0.28,0.28,0.28,0.48,0.07,0.55,0.26,0.33
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23.0,2000.0,31,29,"2,606",29.0,4,1,5,4,0,0,8,0,4.5,4.5,1.1,5.6,22,93,46,0.14,0.03,0.17,0.14,0.17,0.16,0.04,0.19,0.16,0.19
Daniel Batz,de GER,GK,Mainz 05,32.0,1991.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Bauer,de GER,DF,Augsburg,23.0,2000.0,14,9,810,9.0,1,0,1,1,0,0,3,0,1.4,1.4,0.0,1.4,2,25,1,0.11,0.0,0.11,0.11,0.11,0.15,0.0,0.15,0.15,0.15
Elias Baum,de GER,"DF,MF",Eint Frankfurt,17.0,2005.0,4,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,de GER,GK,Hoffenheim,33.0,1990.0,34,34,"3,060",34.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,23.0,1999.0,32,11,"1,158",12.9,5,1,6,5,0,0,3,0,3.7,3.7,1.6,5.2,36,47,86,0.39,0.08,0.47,0.39,0.47,0.28,0.12,0.41,0.28,0.41
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29.0,1994.0,32,16,"1,636",18.2,7,5,12,7,0,0,3,0,4.9,4.9,2.6,7.5,42,38,145,0.39,0.28,0.66,0.39,0.66,0.27,0.14,0.41,0.27,0.41
Adrian Beck,de GER,"MF,FW",Heidenheim,26.0,1997.0,23,11,974,10.8,1,1,2,1,0,0,1,0,1.7,1.7,0.8,2.5,17,29,43,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28.0,1995.0,11,7,645,7.2,0,1,1,0,0,0,0,0,0.8,0.8,1.8,2.6,32,20,73,0.0,0.14,0.14,0.0,0.14,0.12,0.25,0.37,0.12,0.37
Chris Bedia,ci CIV,"FW,MF",Union Berlin,27.0,1996.0,7,0,145,1.6,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,1,1,6,0.62,0.0,0.62,0.62,0.62,0.13,0.11,0.24,0.13,0.24
Donny van de Beek,nl NED,"MF,FW",Eint Frankfurt,26.0,1997.0,8,4,357,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,10,12,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12
Kevin Behrens,de GER,FW,Wolfsburg,32.0,1991.0,13,7,616,6.8,1,1,2,1,0,0,1,0,1.6,1.6,0.9,2.5,7,17,41,0.15,0.15,0.29,0.15,0.29,0.23,0.13,0.36,0.23,0.36
Kevin Behrens,de GER,FW,Union Berlin,32.0,1991.0,18,14,"1,262",14.0,4,0,4,4,0,0,3,0,6.0,6.0,0.9,6.9,11,45,93,0.29,0.0,0.29,0.29,0.29,0.43,0.06,0.5,0.43,0.5
Maximilian Beier,de GER,"FW,MF",Hoffenheim,20.0,2002.0,33,29,"2,420",26.9,16,1,17,16,0,0,0,0,11.4,11.4,2.4,13.8,61,30,224,0.6,0.04,0.63,0.6,0.63,0.43,0.09,0.51,0.43,0.51
Stefan Bell,de GER,DF,Mainz 05,31.0,1991.0,10,8,666,7.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0,23,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Ramy Bensebaini,dz ALG,DF,Dortmund,28.0,1995.0,17,11,"1,033",11.5,0,0,0,0,0,0,4,1,1.7,1.7,0.4,2.1,17,75,63,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.18,0.15,0.18
Mergim Berisha,de GER,FW,Hoffenheim,25.0,1998.0,6,0,144,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,2,3,13,0.0,0.0,0.0,0.0,0.0,0.32,0.19,0.51,0.32,0.51
Mergim Berisha,de GER,FW,Augsburg,25.0,1998.0,2,2,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,1,5,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2
Bernardo,br BRA,DF,Bochum,28.0,1995.0,33,33,"2,924",32.5,1,0,1,1,0,0,9,0,1.9,1.9,0.5,2.4,26,127,38,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07
Matúš Bero,sk SVK,"MF,FW",Bochum,27.0,1995.0,24,20,"1,661",18.5,1,1,2,1,0,0,6,0,2.9,2.9,1.3,4.2,12,48,71,0.05,0.05,0.11,0.05,0.11,0.16,0.07,0.23,0.16,0.23
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24.0,1999.0,31,31,"2,603",28.9,8,11,19,8,0,1,4,0,4.3,3.5,5.7,9.2,80,57,136,0.28,0.38,0.66,0.28,0.66,0.15,0.2,0.35,0.12,0.32
Pep Biel,es ESP,"MF,FW",Augsburg,26.0,1996.0,11,0,285,3.2,0,0,0,0,0,0,1,0,1.0,1.0,0.2,1.2,2,16,16,0.0,0.0,0.0,0.0,0.0,0.32,0.07,0.38,0.32,0.38
Tom Bischof,de GER,"MF,FW",Hoffenheim,18.0,2005.0,13,1,178,2.0,0,2,2,0,0,0,0,0,0.4,0.4,0.8,1.2,2,18,18,0.0,1.01,1.01,0.0,1.01,0.19,0.4,0.59,0.19,0.59
Leonardo Bittencourt,de GER,MF,Werder Bremen,29.0,1993.0,29,19,"1,578",17.5,1,2,3,1,0,0,9,0,2.2,2.2,2.9,5.2,61,85,74,0.06,0.11,0.17,0.06,0.17,0.13,0.17,0.3,0.13,0.3
Hendry Blank,de GER,DF,Dortmund,18.0,2004.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janis Blaswich,de GER,GK,RB Leipzig,32.0,1991.0,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacha Boey,fr FRA,DF,Bayern Munich,22.0,2000.0,2,1,109,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,5,8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
Victor Boniface,ng NGA,FW,Leverkusen,22.0,2000.0,23,18,"1,546",17.2,14,8,22,10,4,4,2,0,15.4,12.3,3.7,16.0,50,34,158,0.82,0.47,1.28,0.58,1.05,0.9,0.22,1.12,0.71,0.93
Leonardo Bonucci,it ITA,DF,Union Berlin,36.0,1987.0,7,6,460,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,0,21,1,0.2,0.0,0.2,0.0,0.0,0.15,0.06,0.22,0.0,0.06
Yvandro Borges Sanches,lu LUX,"MF,FW",Gladbach,19.0,2004.0,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24.0,1999.0,20,16,"1,431",15.9,0,0,0,0,0,0,5,0,0.8,0.8,0.4,1.2,2,41,2,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07
Rafael Borré,co COL,FW,Werder Bremen,27.0,1995.0,19,11,991,11.0,4,0,4,4,0,0,0,0,2.4,2.4,1.8,4.2,16,28,73,0.36,0.0,0.36,0.36,0.36,0.22,0.16,0.38,0.22,0.38
Julian Brandt,de GER,"MF,FW",Dortmund,27.0,1996.0,32,26,"2,223",24.7,7,11,18,7,0,0,2,0,4.4,4.4,9.5,13.8,74,116,158,0.28,0.45,0.73,0.28,0.73,0.18,0.38,0.56,0.18,0.56
Fabian Bredlow,de GER,GK,Stuttgart,28.0,1995.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Breithaupt,de GER,MF,Augsburg,21.0,2002.0,16,6,629,7.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,0,21,2,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Maximilian Breunig,de GER,FW,Freiburg,22.0,2000.0,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bennit Bröger,de GER,FW,Wolfsburg,17.0,2006.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Brooks,us USA,DF,Hoffenheim,30.0,1993.0,21,18,"1,539",17.1,2,0,2,2,0,0,6,1,2.6,2.6,0.1,2.7,5,61,1,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
Moritz Broschinski,de GER,FW,Bochum,22.0,2000.0,26,14,"1,247",13.9,2,3,5,2,0,0,4,0,2.4,2.4,1.8,4.1,18,10,92,0.14,0.22,0.36,0.14,0.36,0.17,0.13,0.3,0.17,0.3
Alexander Brunst,de GER,GK,Darmstadt 98,28.0,1995.0,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marius Bülter,de GER,"DF,FW",Hoffenheim,30.0,1993.0,30,15,"1,351",15.0,1,4,5,1,0,0,3,1,1.4,1.4,3.4,4.9,37,60,107,0.07,0.27,0.33,0.07,0.33,0.1,0.23,0.32,0.1,0.32
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,23.0,2000.0,21,18,"1,538",17.1,8,2,10,7,1,1,2,0,6.1,5.3,2.1,7.4,36,28,101,0.47,0.12,0.59,0.41,0.53,0.36,0.12,0.48,0.31,0.43
Oliver Burke,sct SCO,FW,Werder Bremen,26.0,1997.0,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marnon Busch,de GER,DF,Heidenheim,28.0,1994.0,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,34,27,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26.0,1997.0,30,20,"1,744",19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.7,1.2,51,90,104,0.05,0.05,0.1,0.05,0.1,0.02,0.04,0.06,0.02,0.06
Anthony Caci,fr FRA,DF,Mainz 05,26.0,1997.0,31,29,"2,486",27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43,144,75,0.07,0.11,0.18,0.07,0.18,0.06,0.1,0.16,0.06,0.16
Emre Can,de GER,"MF,DF",Dortmund,29.0,1994.0,25,22,"1,953",21.7,2,2,4,0,2,2,5,0,2.2,0.6,1.5,2.0,35,110,18,0.09,0.09,0.18,0.0,0.09,0.1,0.07,0.17,0.03,0.09
Irvin Cardona,fr FRA,"MF,DF",Augsburg,25.0,1997.0,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33
Rasmus Carstensen,dk DEN,"DF,FW",Köln,22.0,2000.0,23,18,"1,659",18.4,0,0,0,0,0,0,2,1,0.9,0.9,2.6,3.5,32,52,89,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.19,0.05,0.19
Fabio Carvalho,pt POR,MF,RB Leipzig,20.0,2002.0,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25
Koen Casteels,be BEL,GK,Wolfsburg,31.0,1992.0,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Václav Černý,cz CZE,"FW,MF",Wolfsburg,25.0,1997.0,22,12,921,10.2,4,1,5,4,0,0,2,0,2.3,2.3,0.9,3.2,26,37,83,0.39,0.1,0.49,0.39,0.49,0.22,0.09,0.31,0.22,0.31
Julian Chabot,de GER,DF,Köln,25.0,1998.0,32,32,"2,703",30.0,0,0,0,0,0,0,9,1,1.4,1.4,0.4,1.8,17,71,8,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
El Chadaille Bitshiabu,fr FRA,"DF,MF",RB Leipzig,18.0,2005.0,6,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,20.0,2002.0,28,21,"1,912",21.2,2,4,6,2,0,0,2,0,3.1,3.1,6.8,9.8,53,86,143,0.09,0.19,0.28,0.09,0.28,0.14,0.32,0.46,0.14,0.46
Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,33.0,1990.0,6,0,18,0.2,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,1,5,10,0.0,5.0,5.0,0.0,5.0,0.4,0.69,1.09,0.4,1.09
Fabio Chiarodia,it ITA,DF,Gladbach,18.0,2005.0,7,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Jacob Christensen,dk DEN,MF,Köln,22.0,2001.0,7,2,219,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,12,1,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
Nnamdi Collins,de GER,DF,Eint Frankfurt,19.0,2004.0,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsley Coman,fr FRA,FW,Bayern Munich,27.0,1996.0,17,15,"1,113",12.4,3,3,6,3,0,0,1,0,2.8,2.8,3.8,6.6,75,72,210,0.24,0.24,0.49,0.24,0.49,0.22,0.31,0.53,0.22,0.53
Bambasé Conté,de GER,"MF,FW",Hoffenheim,20.0,2003.0,7,0,48,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,8,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41
Danny da Costa,de GER,DF,Mainz 05,30.0,1993.0,19,9,830,9.2,0,1,1,0,0,0,1,0,0.3,0.3,1.2,1.5,22,40,53,0.0,0.11,0.11,0.0,0.11,0.03,0.13,0.16,0.03,0.16
Nicolas Cozza,fr FRA,DF,Wolfsburg,24.0,1999.0,6,3,276,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,16,8,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03
Tomáš Čvančara,cz CZE,FW,Gladbach,22.0,2000.0,21,7,896,10.0,4,1,5,3,1,2,4,0,5.9,4.3,0.7,5.0,12,13,47,0.4,0.1,0.5,0.3,0.4,0.59,0.07,0.66,0.43,0.51
Finn Dahmen,de GER,GK,Augsburg,25.0,1998.0,31,31,"2,790",31.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahmoud Dahoud,de GER,MF,Stuttgart,27.0,1996.0,13,1,227,2.5,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,1,19,5,0.4,0.0,0.4,0.4,0.4,0.22,0.21,0.43,0.22,0.43
Lukas Daschner,de GER,"MF,FW",Bochum,24.0,1998.0,20,3,536,6.0,1,1,2,1,0,0,2,0,2.3,2.3,1.0,3.3,11,17,37,0.17,0.17,0.34,0.17,0.34,0.39,0.16,0.55,0.39,0.55
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20.0,2002.0,12,8,682,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,3.1,20,14,66,0.13,0.0,0.13,0.13,0.13,0.37,0.05,0.41,0.37,0.41
Alphonso Davies,ca CAN,DF,Bayern Munich,22.0,2000.0,29,24,"2,065",22.9,2,5,7,2,0,0,0,0,1.0,1.0,2.9,3.8,121,117,139,0.09,0.22,0.31,0.09,0.31,0.04,0.12,0.17,0.04,0.17
Olivier Deman,be BEL,DF,Werder Bremen,23.0,2000.0,29,14,"1,365",15.2,2,1,3,2,0,0,5,0,1.1,1.1,0.9,2.0,26,40,53,0.13,0.07,0.2,0.13,0.2,0.07,0.06,0.13,0.07,0.13
Ermedin Demirović,ba BIH,"FW,MF",Augsburg,25.0,1998.0,33,33,"2,873",31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28,60,167,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45
Sepp van den Berg,nl NED,DF,Mainz 05,21.0,2001.0,33,31,"2,839",31.5,3,0,3,3,0,0,9,0,2.7,2.7,0.3,3.0,7,95,6,0.1,0.0,0.1,0.1,0.1,0.08,0.01,0.09,0.08,0.09
Samuele Di Benedetto,de GER,MF,Stuttgart,18.0,2005.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3
Justin Diehl,de GER,"FW,MF",Köln,18.0,2004.0,7,1,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,2,17,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.23,0.12,0.23
Eric Dier,eng ENG,DF,Bayern Munich,29.0,1994.0,15,13,"1,166",13.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.7,8,53,1,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
Florian Dietz,de GER,"FW,MF",Köln,24.0,1998.0,5,0,70,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,0,8,0.0,0.0,0.0,0.0,0.0,0.34,0.12,0.46,0.34,0.46
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,22.0,2000.0,31,25,"1,956",21.7,5,3,8,5,0,0,5,0,5.0,5.0,2.9,7.9,57,79,157,0.23,0.14,0.37,0.23,0.37,0.23,0.13,0.36,0.23,0.36
Eren Dinkçi,de GER,"FW,MF",Heidenheim,21.0,2001.0,33,33,"2,650",29.4,10,5,15,10,0,0,8,0,4.3,4.3,3.7,8.0,85,89,143,0.34,0.17,0.51,0.34,0.51,0.15,0.13,0.27,0.15,0.27
Ritsu Doan,jp JPN,"DF,MF",Freiburg,25.0,1998.0,30,26,"2,246",25.0,7,2,9,7,0,0,2,0,5.0,5.0,3.1,8.1,49,78,139,0.28,0.08,0.36,0.28,0.36,0.2,0.12,0.32,0.2,0.32
Danilho Doekhi,nl NED,DF,Union Berlin,25.0,1998.0,24,24,"2,160",24.0,2,0,2,2,0,0,2,0,1.2,1.2,0.2,1.3,7,65,6,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06
Niklas Dorsch,de GER,MF,Augsburg,25.0,1998.0,21,16,"1,386",15.4,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,12,47,12,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29.0,1994.0,21,5,656,7.3,3,1,4,3,0,0,0,1,1.9,1.9,0.6,2.6,12,22,25,0.41,0.14,0.55,0.41,0.55,0.26,0.09,0.35,0.26,0.35
